ID;X;Y;26_04;05_05;09_05;13_05;18_05;23_05;07_06
1010;412864.42;4527648.4;0.33;0.35;0.38;0.57;0.77;0.85;0.67
1011;412862.22;4527647.05;0.44;0.49;0.54;0.63;0.75;0.83;0.67
1012;412863.96;4527646.81;0.34;0.39;0.42;0.54;0.78;0.85;0.68
1013;412866.21;4527647.05;0.35;0.39;0.39;0.58;0.79;0.86;0.65
1016;412868.33;4527648.04;0.32;0.38;0.41;0.56;0.79;0.84;0.67
1017;412866.93;4527646.65;0.31;0.34;0.37;0.55;0.79;0.86;0.65
1044;412881.34;4527637.74;0.39;0.44;0.47;0.61;0.74;0.67;0.61
1045;412882.07;4527634.12;0.40;0.48;0.52;0.62;0.76;0.75;0.60
1046;412880.35;4527634.12;0.49;0.49;0.53;0.62;0.81;0.80;0.62
1048;412879.38;4527634.68;0.44;0.44;0.48;0.62;0.79;0.81;0.62
1049;412879.24;4527636.56;0.39;0.39;0.45;0.57;0.75;0.75;0.55
1050;412877.75;4527637.54;0.47;0.46;0.51;0.62;0.75;0.84;0.53
1051;412878.79;4527638.8;0.38;0.40;0.44;0.59;0.80;0.78;0.62
1052;412878.75;4527639.92;0.44;0.48;0.52;0.61;0.77;0.59;0.69
1053;412872.14;4527637.15;0.41;0.46;0.49;0.61;0.77;0.85;0.52
1054;412872.19;4527640.3;0.40;0.44;0.46;0.59;0.68;0.86;0.62
1056;412863.42;4527644.28;0.46;0.51;0.55;0.62;0.78;0.86;0.61
1058;412856.87;4527638.19;0.41;0.45;0.55;0.66;0.74;0.82;0.60
1060;412851.15;4527633.28;0.36;0.39;0.44;0.56;0.84;0.85;0.64
1061;412852.32;4527632.82;0.35;0.39;0.44;0.61;0.79;0.83;0.62
1062;412857.84;4527632.74;0.33;0.34;0.40;0.58;0.78;0.84;0.65
1064;412846.78;4527626.11;0.39;0.42;0.48;0.63;0.83;0.85;0.62
1065;412850.82;4527623.52;0.46;0.54;0.56;0.65;0.81;0.80;0.65
1067;412849.81;4527627.95;0.47;0.53;0.57;0.65;0.76;0.82;0.64
1069;412851.27;4527626.58;0.37;0.42;0.48;0.62;0.83;0.86;0.64
1070;412852.3;4527624.36;0.40;0.47;0.54;0.66;0.80;0.86;0.66
1071;412853.03;4527627.45;0.39;0.41;0.48;0.64;0.81;0.86;0.66
1072;412853.74;4527627.35;0.34;0.39;0.44;0.62;0.79;0.84;0.65
1074;412862.12;4527634.39;0.39;0.46;0.52;0.63;0.66;0.84;0.55
1075;412863.43;4527635.05;0.37;0.44;0.45;0.57;0.64;0.83;0.60
1076;412864.17;4527637.39;0.39;0.44;0.46;0.56;0.75;0.86;0.62
1078;412869.2;4527634.23;0.39;0.44;0.48;0.61;0.65;0.84;0.53
1079;412872.67;4527631.93;0.41;0.45;0.53;0.65;0.78;0.81;0.54
1080;412871.58;4527631.27;0.44;0.52;0.59;0.68;0.78;0.83;0.61
1081;412873.63;4527628.14;0.42;0.45;0.53;0.68;0.78;0.84;0.67
1083;412876.27;4527629.31;0.45;0.51;0.57;0.70;0.79;0.81;0.62
1084;412871.07;4527625.02;0.37;0.42;0.49;0.71;0.74;0.81;0.70
1085;412872.53;4527622.31;0.30;0.34;0.44;0.61;0.75;0.84;0.77
1086;412867.46;4527629.68;0.41;0.45;0.53;0.66;0.76;0.84;0.68
1087;412867.95;4527628.53;0.34;0.37;0.44;0.62;0.73;0.82;0.59
1088;412867.9;4527626.15;0.34;0.35;0.44;0.66;0.74;0.85;0.67
1089;412864.97;4527630.09;0.47;0.53;0.58;0.65;0.79;0.86;0.68
1090;412864.62;4527625.24;0.42;0.49;0.53;0.66;0.77;0.85;0.69
1091;412865.49;4527625.07;0.33;0.36;0.37;0.54;0.71;0.84;0.70
1092;412855.98;4527621.56;0.41;0.48;0.53;0.66;0.79;0.86;0.71
1094;412856.57;4527618.83;0.38;0.44;0.49;0.60;0.77;0.83;0.68
1096;412855.57;4527617.08;0.41;0.47;0.51;0.64;0.82;0.84;0.69
1097;412856.24;4527617.33;0.35;0.42;0.46;0.64;0.80;0.84;0.71
1098;412857.58;4527619.14;0.37;0.47;0.51;0.66;0.80;0.84;0.69
1099;412858.31;4527618.08;0.33;0.37;0.45;0.60;0.84;0.87;0.68
1100;412859.65;4527617.26;0.35;0.43;0.47;0.67;0.83;0.85;0.71
1103;412856.04;4527614.8;0.43;0.52;0.57;0.64;0.77;0.84;0.73
1105;412857.55;4527609.08;0.13;0.36;0.41;0.54;0.77;0.78;0.56
1106;412883.72;4527632.88;0.41;0.39;0.45;0.57;0.79;0.71;0.55
1107;412884.81;4527632.75;0.27;0.23;0.32;0.49;0.71;0.60;0.51
1111;412886.46;4527633.95;0.37;0.37;0.41;0.57;0.74;0.65;0.55
1126;412890.78;4527630.43;0.43;0.47;0.45;0.57;0.77;0.64;0.47
1127;412889.63;4527630.73;0.30;0.30;0.35;0.50;0.74;0.58;0.48
1191;412878.18;4527624.99;0.33;0.21;0.39;0.67;0.76;0.84;0.64
1192;412879.01;4527625.52;0.45;0.42;0.50;0.67;0.78;0.84;0.54
1195;412880.06;4527624.25;0.31;0.27;0.34;0.55;0.81;0.74;0.46
1197;412879.73;4527622.66;0.32;0.26;0.39;0.62;0.78;0.83;0.55
1198;412876.19;4527622.91;0.31;0.34;0.44;0.62;0.72;0.84;0.62
1199;412875.21;4527621.21;0.27;0.29;0.38;0.62;0.80;0.87;0.66
1200;412875.16;4527619.88;0.31;0.35;0.46;0.61;0.82;0.86;0.63
1202;412878.56;4527621.7;0.33;0.28;0.40;0.66;0.76;0.85;0.64
1203;412879.47;4527620.91;0.35;0.29;0.41;0.61;0.78;0.82;0.57
1206;412882.28;4527618.41;0.44;0.49;0.51;0.61;0.79;0.86;0.56
1207;412879.98;4527619.12;0.30;0.31;0.42;0.61;0.76;0.80;0.61
1208;412877.94;4527618.4;0.40;0.44;0.55;0.69;0.79;0.84;0.63
1209;412877.49;4527616.74;0.29;0.31;0.40;0.63;0.83;0.85;0.68
1210;412876.97;4527619.97;0.28;0.30;0.41;0.62;0.81;0.86;0.66
1228;412875.99;4527611.37;0.36;0.43;0.48;0.64;0.79;0.86;0.71
1231;412872.71;4527610.11;0.32;0.35;0.36;0.56;0.77;0.87;0.71
1232;412870.42;4527605.33;0.33;0.35;0.37;0.54;0.77;0.87;0.70
1235;412867.91;4527608.13;0.36;0.40;0.42;0.59;0.81;0.78;0.69
1236;412867.64;4527608.98;0.33;0.43;0.40;0.64;0.77;0.85;0.68
2032;412868.35;4527648.97;0.29;0.33;0.33;0.50;0.71;0.85;0.58
2041;412863.3;4527645.92;0.33;0.38;0.44;0.58;0.80;0.85;0.69
2042;412868.48;4527646.01;0.32;0.38;0.39;0.52;0.77;0.85;0.67
2051;412860.22;4527642.78;0.34;0.37;0.42;0.58;0.75;0.82;0.57
