ID;X;Y;108;111;115;119;123;125;129;133;138;140;143;;
1010;412864.42;4527648.40;1a;1b;2;2c;3b;4;4ab;4c;5c;5c;5c;;
1011;412862.22;4527647.05;1b;1c;2;2c;3b;4;4ab;4c;5c;5c;5c;;
1012;412863.96;4527646.81;1b;1b;2;2c;3b;4;4ab;4c;5c;5c;5c;;
1013;412866.21;4527647.05;1b;1b;1c;2ab;3ab;3c;4a;4c;5c;5c;5c;;
1016;412868.33;4527648.04;1b;1b;1c;2;3ab;4;4a;4c;5c;5c;5c;;
1017;412866.93;4527646.65;1b;1c;2;2c;3c;4;4ab;4c;5c;5c;5c;;
1044;412881.34;4527637.74;1bc;2;2;2bc;3c;4a;4b;5;5b;5b;5c;;
1045;412882.07;4527634.12;1b;2;2;2b;3c;4;4ab;5;5bc;5bc;5c;;
1046;412880.35;4527634.12;1bc;2;2b;2bc;3c;4a;4b;5;5c;5c;5c;;
1048;412879.38;4527634.68;1bc;2;2b;2bc;3c;4a;4b;5;5c;5c;5c;;
1049;412879.24;4527636.56;1b;1c;2;2b;3bc;4;4ab;4c;5b;5b;5c;;
1050;412877.75;4527637.54;1b;1c;2;2ab;3bc;3c;4;4c;5b;5b;5c;;
1051;412878.79;4527638.80;1b;1c;2;2bc;3c;4a;4b;4c;5b;5b;5c;;
1052;412878.75;4527639.92;1bc;2;2;2bc;3c;4a;4b;4c;5b;5b;5c;;
1053;412872.14;4527637.15;1b;1c;1c;2;3;3bc;4;4ab;5b;5b;5c;;
1054;412872.19;4527640.30;1b;1c;2;2;3;3bc;4;4ab;5b;5b;5c;;
1056;412863.42;4527644.28;1b;1b;1c;2ab;3;4;4ab;4c;5c;5c;5c;;
1058;412856.87;4527638.19;1c;2;3;3b;4b;4bc;5;5b;5c;5c;5c;;
1060;412851.15;4527633.28;1b;1bc;1c;2;3;3bc;4a;4c;5c;5c;5c;;
1061;412852.32;4527632.82;1b;1bc;1c;2;3b;3c;4ab;4c;5c;5c;5c;;
1062;412857.84;4527632.74;1b;1b;1c;2a;3;3bc;4a;4c;5c;5c;5c;;
1064;412846.78;4527626.11;1bc;1c;2c;3a;4;4a;4c;5ab;5c;5c;5c;;
1065;412850.82;4527623.52;1b;1c;2ab;3;4;4;4b;5;5c;5c;5c;;
1067;412849.81;4527627.95;1b;1b;1bc;1c;2a;3ab;3c;4b;5c;5c;5c;;
1069;412851.27;4527626.58;1b;1c;2ab;3;3c;4;4ab;5;5b;5b;5c;;
1070;412852.30;4527624.36;1b;1c;2ab;3;4;4a;4b;5;5c;5c;5c;;
1071;412853.03;4527627.45;1b;1b;1c;2b;3c;4;4ab;5;5b;5b;5c;;
1072;412853.74;4527627.35;1b;1b;1c;2b;3c;4;4ab;5;5b;5b;5c;;
1074;412862.12;4527634.39;1b;1b;2;2b;3bc;4;4b;5;5b;5bc;5c;;
1075;412863.43;4527635.05;1b;1c;2;2a;3c;4;4b;5;5b;5bc;5c;;
1076;412864.17;4527637.39;1b;1c;2;2a;3c;4;4b;5;5b;5bc;5c;;
1078;412869.20;4527634.23;1bc;2;2ab;2b;3ab;3c;4a;4ab;5b;5b;5c;;
1079;412872.67;4527631.93;1ab;1c;2;2b;3c;4a;4b;5a;5bc;5bc;5c;;
1080;412871.58;4527631.27;1b;1c;2b;3a;3c;4a;4b;5a;5bc;5bc;5c;;
1081;412873.63;4527628.14;1ab;1bc;1c;2ab;3c;4a;4b;5a;5c;5c;5c;;
1083;412876.27;4527629.31;1b;1c;2b;2c;4;4a;4b;5a;5bc;5bc;5c;;
1084;412871.07;4527625.02;1ab;1b;1c;2b;3c;4;4ab;5;5b;5b;5c;;
1085;412872.53;4527622.31;1b;2;2bc;3;3c;4;4b;5;5b;5b;5c;;
1086;412867.46;4527629.68;1ab;1bc;1c;2a;3;3bc;4;4ab;5b;5b;5c;;
1087;412867.95;4527628.53;1b;1c;2;2c;3c;4;4;4ab;5b;5b;5c;;
1088;412867.90;4527626.15;1b;1c;2;2c;3c;4;4a;4b;5b;5b;5c;;
1089;412864.97;4527630.09;1b;2;2a;2c;3c;4;4a;4ab;5b;5b;5c;;
1090;412864.62;4527625.24;1b;1c;2;3;4;4a;4bc;5b;5c;5c;5c;;
1091;412865.49;4527625.07;1b;1c;2;3;4;4a;4bc;5b;5c;5c;5c;;
1092;412855.98;4527621.56;1ab;1b;1c;2ab;3a;3bc;4a;5;5c;5c;5c;;
1094;412856.57;4527618.83;1b;1b;1c;2ab;3bc;3bc;4b;5;5c;5c;5c;;
1096;412855.57;4527617.08;1b;1c;2ab;2c;4;4;4b;5;5c;5c;5c;;
1097;412856.24;4527617.33;1b;1c;2;2b;4;4;4b;5;5c;5c;5c;;
1098;412857.58;4527619.14;1b;1bc;2;2bc;3c;4;4b;5;5c;5c;5c;;
1099;412858.31;4527618.08;1ab;1b;1c;2;3c;4;4a;5;5b;5b;5c;;
1100;412859.65;4527617.26;1b;2;2b;2c;3c;4;4b;5;5b;5b;5c;;
1103;412856.04;4527614.80;1b;1b;1c;2b;3bc;3c;4ab;5;5c;5c;5c;;
1105;412857.55;4527609.08;1b;1c;2;2c;3c;4;4ab;5;5c;5c;5c;;
1106;412883.72;4527632.88;1b;2;2;2b;3c;4;4ab;5;5bc;5bc;5c;;
1107;412884.81;4527632.75;1b;1c;2;2bc;3c;4;4ab;5;5bc;5bc;5c;;
1111;412886.46;4527633.95;1b;1c;2;2b;3bc;4;4a;4bc;5b;5b;5c;;
1126;412890.78;4527630.43;1b;1c;1c;2ab;3b;3c;4;4c;5bc;5bc;5c;;
1127;412889.63;4527630.73;1b;1c;1c;2ab;3b;3c;4;4c;5bc;5bc;5c;;
1191;412878.18;4527624.99;1b;2;2c;3b;4b;4b;4c;5bc;5c;5c;5c;;
1192;412879.01;4527625.52;1b;2;2c;3b;4b;4b;4c;5bc;5c;5c;5c;;
1195;412880.06;4527624.25;1b;2;2c;3b;4b;4b;4c;5bc;5c;5c;5c;;
1197;412879.73;4527622.66;1c;2;2c;3b;4b;4b;4c;5bc;5c;5c;5c;;
1198;412876.19;4527622.91;1b;2;2c;3b;4b;4b;4c;5bc;5c;5c;5c;;
1199;412875.21;4527621.21;1bc;2;2c;3b;4b;4b;4c;5bc;5c;5c;5c;;
1200;412875.16;4527619.88;1b;2;2c;3b;4b;4b;4c;5bc;5c;5c;5c;;
1202;412878.56;4527621.70;1b;2;2c;3b;4b;4b;4c;5bc;5c;5c;5c;;
1203;412879.47;4527620.91;1b;2;2c;3b;4b;4b;4c;5bc;5c;5c;5c;;
1206;412882.28;4527618.41;1c;2;2c;3b;4a;4b;4c;5bc;5c;5c;5c;;
1207;412879.98;4527619.12;1c;2;2c;3b;4b;4b;4c;5bc;5c;5c;5c;;
1208;412877.94;4527618.40;1b;2;2c;3c;4b;4b;4c;5bc;5c;5c;5c;;
1209;412877.49;4527616.74;1bc;2;2c;3b;4b;4b;4c;5bc;5c;5c;5c;;
1210;412876.97;4527619.97;1bc;2;2c;3b;4b;4b;4c;5bc;5c;5c;5c;;
1228;412875.99;4527611.37;1bc;1c;2;2ab;3bc;3c;4;4a;5b;5b;5c;;
1231;412872.71;4527610.11;1b;1b;1bc;1c;2c;3;3b;4a;5b;5b;5c;;
